timestamp,meid,cell_id,node_id,format,DRB_MeanActiveUeDl,DRB_PdcpSduDelayDl,RRU_PrbUsedDl,TB_TotNbrDlInitial_16Qam,TB_TotNbrDlInitial_64Qam,TB_TotNbrDlInitial_Qpsk,UE_DRB_BlerDl_UEID,UE_DRB_EstabSucc_5QI_UEID,UE_DRB_PdcpSduDelayDl_UEID,UE_DRB_RelActNbr_5QI_UEID,UE_DRB_UEThpDl_UEID,UE_HO_SrcCellQual_RS-SINR_UEID,UE_HO_TrgtCellQual_RS-SINR_UEID,UE_RRU_PrbUsedDl_UEID,UE_TB_TotNbrDlInitial_16Qam_UEID,UE_TB_TotNbrDlInitial_64Qam_UEID,UE_TB_TotNbrDlInitial_Qpsk_UEID
2026-04-24T18:00:23.494095+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,0.0,,10.723017,,,,,,,,
2026-04-24T18:00:23.494147+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,11.746994,,,,,,,,
2026-04-24T18:00:23.495152+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,,,,,,,,,,,,,,,,
2026-04-24T18:00:23.495444+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:23.495550+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:23.496042+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:23.496127+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:23.496372+00:00,gnb:131-133-31000000,CELL_1111,2,F1,4,,26,0,127,250,,,,,,,,,,,
2026-04-24T18:00:23.496436+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,,,,13520.466228,,,2,0,63,0
2026-04-24T18:00:23.496496+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,,,,7113.26805,,,10,0,0,125
2026-04-24T18:00:23.496552+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,12807.812818,,,2,0,64,0
2026-04-24T18:00:23.496930+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,6056.692329,,,12,0,0,125
2026-04-24T18:00:24.355180+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,9.99966,,,,,,,,,,,,,,,
2026-04-24T18:00:24.355462+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,11.675492,,,,,,,,
2026-04-24T18:00:24.355577+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,0.0,,8.468845,,,,,,,,
2026-04-24T18:00:24.355698+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,0.0,,10.707291,,,,,,,,
2026-04-24T18:00:24.355758+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,9.147013,,,,,,,,
2026-04-24T18:00:24.356487+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,,,,,,,,,,,,,,,,
2026-04-24T18:00:24.356612+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:24.356725+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:24.356831+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:24.356934+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:24.357693+00:00,gnb:131-133-31000000,CELL_1111,2,F1,4,,26,0,124,252,,,,,,,,,,,
2026-04-24T18:00:24.357819+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,6057.195441,,,12,0,0,125
2026-04-24T18:00:24.357926+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,,,,13521.881148,,,2,0,62,0
2026-04-24T18:00:24.357991+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,,,,7109.793281,,,10,0,0,127
2026-04-24T18:00:24.358052+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,12814.207945,,,2,0,62,0
2026-04-24T18:00:25.181863+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,10.094132,,,,,,,,,,,,,,,
2026-04-24T18:00:25.182276+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,9.233773,,,,,,,,
2026-04-24T18:00:25.182585+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,0.0,,10.832465,,,,,,,,
2026-04-24T18:00:25.182707+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,11.758515,,,,,,,,
2026-04-24T18:00:25.182781+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,0.0,,8.551777,,,,,,,,
2026-04-24T18:00:25.183932+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,,,,,,,,,,,,,,,,
2026-04-24T18:00:25.184059+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:25.184161+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:25.184223+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:25.184282+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,1,,0,,,,,,,
2026-04-24T18:00:25.185620+00:00,gnb:131-133-31000000,CELL_1111,2,F1,4,,26,0,126,252,,,,,,,,,,,
2026-04-24T18:00:25.185701+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,,,,,6057.662838,,,12,0,0,125
2026-04-24T18:00:25.185767+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,,,,,7106.553446,,,10,0,0,127
2026-04-24T18:00:25.185826+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,,,,,13523.240874,,,2,0,63,0
2026-04-24T18:00:25.185886+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,,,,,12820.110316,,,2,0,63,0
2026-04-24T18:00:26.016356+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,9.90382,,,,,,,,,,,,,,,
2026-04-24T18:00:26.016468+00:00,gnb:131-133-31000000,UE_3030303034,6,F1,,,,,,,0.0,,8.468845,,,,,,,,
2026-04-24T18:00:26.016531+00:00,gnb:131-133-31000000,UE_3030303031,3,F1,,,,,,,0.0,,8.834513,,,,,,,,
2026-04-24T18:00:26.016588+00:00,gnb:131-133-31000000,UE_3030303033,5,F1,,,,,,,0.0,,10.622257,,,,,,,,
2026-04-24T18:00:26.016862+00:00,gnb:131-133-31000000,UE_3030303032,4,F1,,,,,,,0.0,,11.689665,,,,,,,,
2026-04-24T18:00:26.017338+00:00,gnb:131-133-31000000,CELL_1111,2,F1,,,,,,,,,,,,,,,,,
